non_terminal,first,follow
PROGRAMA,"{'tung', 'porcodio', 'tralalero', 'dunmadin', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'string', '=', 'tropa', 'valor_real'}",{'$'}
LISTA_DE_COMANDOS,"{'tung', 'porcodio', 'tralalero', 'dunmadin', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'string', '=', 'tropa', 'valor_real'}","{'$', 'finitini', 'sahur'}"
COMANDO,"{'caractere', 'chimpanzini', 'tung', 'tripi', 'valor_real', 'tralala', 'batapim', 'tralalero', 'dunmadin', 'lirili', 'porcoala', 'string', 'id', 'saturnita', 'valor_inteiro', '=', 'tropa', 'porcodio'}","{'tung', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'string', 'finitini', '=', 'tropa', 'valor_real'}"
DECLARACAO,"{'tralala', 'tralalero', 'porcoala', 'porcodio'}","{'tung', ';', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'string', 'finitini', '=', 'tropa', 'valor_real'}"
ATRIBUICAO,"{'caractere', 'tripi', 'string', 'id', 'valor_inteiro', '=', 'tropa', 'valor_real'}","{'tung', ';', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'string', 'finitini', '=', 'tropa', 'valor_real'}"
EXPRESSAO,"{'caractere', 'tripi', 'string', 'id', 'valor_inteiro', 'tropa', 'valor_real'}","{'+', 'tung', ';', 'porcodio', '*', ')', 'tralalero', '<', 'dunmadin', '$', '!=', '>', 'id', 'saturnita', 'valor_inteiro', '<=', '==', 'caractere', 'chimpanzini', 'tripi', '/', 'tralala', 'batapim', '&&', '%', 'lirili', '>=', '-', 'porcoala', 'sahur', 'string', 'finitini', 'delimitare', '=', '||', 'tropa', 'valor_real'}"
OPERADOR,"{'/', '*', '<', '&&', '!=', '<=', '>', '-', '>=', '==', '%', '||', '+'}","{'caractere', 'tripi', 'string', 'id', 'valor_inteiro', 'tropa', 'valor_real'}"
ENTRADA,{'batapim'},"{'tung', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'string', 'finitini', '=', 'tropa', 'valor_real'}"
SAIDA,{'chimpanzini'},"{'tung', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'string', 'finitini', '=', 'tropa', 'valor_real'}"
DECISAO,{'lirili'},"{'tung', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'string', 'finitini', '=', 'tropa', 'valor_real'}"
LACO_CONTADO,{'dunmadin'},"{'tung', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'string', 'finitini', '=', 'tropa', 'valor_real'}"
LACO_DE_REPETICAO,{'tung'},"{'tung', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'string', 'finitini', '=', 'tropa', 'valor_real'}"
BLOCO,"{'delimitare', 'sahur'}","{'$', 'valor_inteiro', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'saturnita', 'finitini', 'tung', 'larila', 'valor_real', 'tralalero', 'dunmadin', 'id', 'caractere', 'chimpanzini', 'sahur', 'string', '=', 'tropa', 'porcodio'}"
BLOCO_REPETICAO,{'sahur'},"{'tung', 'larila', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'valor_inteiro', 'string', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'saturnita', 'finitini', '=', 'tropa', 'valor_real'}"
BLOCO_DECISAO,{'delimitare'},"{'tung', 'larila', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'valor_inteiro', 'string', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'saturnita', 'finitini', '=', 'tropa', 'valor_real'}"
COMENTARIO,{'saturnita'},"{'tung', 'porcodio', 'tralalero', 'dunmadin', '$', 'id', 'saturnita', 'valor_inteiro', 'caractere', 'chimpanzini', 'tripi', 'tralala', 'batapim', 'lirili', 'porcoala', 'sahur', 'string', 'finitini', '=', 'tropa', 'valor_real'}"
TIPO_DE_VARIAVEL,"{'tralala', 'tralalero', 'porcoala', 'porcodio'}",{'id'}
OPERADOR_ARITMETICO,"{'/', '*', '-', '%', '+'}","{'caractere', 'tripi', 'string', 'id', 'valor_inteiro', 'tropa', 'valor_real'}"
OPERADOR_RELACIONAL,"{'<', '==', '!=', '>=', '<=', '>'}","{'caractere', 'tripi', 'string', 'id', 'valor_inteiro', 'tropa', 'valor_real'}"
OPERADOR_LOGICO,"{'&&', '||'}","{'caractere', 'tripi', 'string', 'id', 'valor_inteiro', 'tropa', 'valor_real'}"
TERMO,"{'caractere', 'tripi', 'string', 'id', 'valor_inteiro', 'tropa', 'valor_real'}","{';', ')', '$', '!=', 'valor_inteiro', 'tripi', '/', 'tralala', 'batapim', 'lirili', 'porcoala', 'saturnita', 'finitini', '>', '+', 'tung', 'valor_real', '*', 'tralalero', '<', 'dunmadin', 'id', '<=', '==', 'caractere', 'chimpanzini', '&&', '%', '-', 'sahur', '>=', 'string', 'delimitare', '=', '||', 'tropa', 'porcodio'}"
VALOR_BOOL,"{'tropa', 'tripi'}","{';', ')', '$', '!=', 'valor_inteiro', 'tripi', '/', 'tralala', 'batapim', 'lirili', 'porcoala', 'saturnita', 'finitini', '>', '+', 'tung', 'valor_real', '*', 'tralalero', '<', 'dunmadin', 'id', '<=', '==', 'caractere', 'chimpanzini', '&&', '%', '-', 'sahur', '>=', 'string', 'delimitare', '=', '||', 'tropa', 'porcodio'}"
